id_hex,lon,lat,ds_codigo,ds_nome,ds_subpref,iptc_2025,classe_iptc,pop_total,renda_per_capita,decil_renda,pct60,pct60_car,penal_car,dep_pico,deficit
89a810702b7ffff,-46.467658613367,-23.4838037138274,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,2076,406.7,2.0,9.122141946844168,63.154323605159135,6.923190186380246,34.68010883378965,9147.308684310055
89a810702bbffff,-46.4615434884169,-23.4840797394824,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,2273,403.3,2.0,3.18093271696016,57.031397134350016,17.929142867520863,5.324419449864188,23519.702220873536
89a810702c3ffff,-46.44940246534,-23.487700997358,74.0,SAO MIGUEL,SAO MIGUEL,77.2,Alta,1445,330.0,1.0,3.9421751533519047,54.25584031297769,13.762919759373375,6.862261476905249,13852.037107553946
89a810702d3ffff,-46.4494920032141,-23.4907707950242,74.0,SAO MIGUEL,SAO MIGUEL,77.2,Alta,835,519.3,4.0,5.345739364732008,57.54012453018107,10.763735491819224,6.249784707949157,6832.488232845396
89a810702d7ffff,-46.4525049341099,-23.4890981484678,74.0,SAO MIGUEL,SAO MIGUEL,77.2,Alta,363,359.6,1.0,3.4304436893192665,56.262442330556105,16.400922861882268,5.0880002831582765,3665.543621818991
89a810702dbffff,-46.4463895082874,-23.4893736133999,74.0,SAO MIGUEL,SAO MIGUEL,77.2,Alta,2607,458.9,3.0,5.011219039322097,52.68185300169961,10.512781937551518,6.838812183616411,22204.18649196992
89a81070403ffff,-46.4776829588763,-23.5125480366037,64.0,PONTE RASA,ERMELINO MATARAZZO,76.2,Alta,2340,769.3,6.0,9.12347066931795,62.51061533715466,6.851626711244507,8.3629526959338,10307.441040512282
89a81070407ffff,-46.4806956968073,-23.5108752605594,64.0,PONTE RASA,ERMELINO MATARAZZO,76.2,Alta,1489,680.9,5.0,6.424835325069064,67.32411469532393,10.478730004585795,6.740570112294845,10577.1482452459
89a8107040bffff,-46.4745805228031,-23.5111519179161,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,2621,431.7,2.0,6.805225461095583,63.35259210646418,9.309403849827033,7.948297349803893,17621.335633991286
89a8107040fffff,-46.4775932866069,-23.5094791724341,64.0,PONTE RASA,ERMELINO MATARAZZO,76.2,Alta,1058,768.7,6.0,9.725844114279376,65.28253261435968,6.712274209547795,7.938655262837322,4023.061810129099
89a81070413ffff,-46.4777726320267,-23.515616787039,64.0,PONTE RASA,ERMELINO MATARAZZO,76.2,Alta,1900,710.2,6.0,9.285517040576874,68.04933719856776,7.328545831233551,6.517028171534226,8061.401628357332
89a81070417ffff,-46.4807853835405,-23.5139440590249,64.0,PONTE RASA,ERMELINO MATARAZZO,76.2,Alta,1868,706.5,6.0,7.947031345140862,69.03004992530268,8.686268737005859,7.615761928231126,10425.921932638415
89a8107041bffff,-46.4746701811071,-23.5142207344489,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,1527,625.2,5.0,8.219997157689317,64.63671572155985,7.863350130370308,8.208801989459515,8105.870064591219
89a81070423ffff,-46.4836186946394,-23.5061334463229,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,918,721.2,6.0,9.475148845802336,68.55540714945124,7.235285510034235,11.955753813178974,3720.8478421883055
89a81070427ffff,-46.4866313387481,-23.5044604658172,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1228,740.0,6.0,8.328519121471809,69.75862312000213,8.375873561982582,7.7615075271710685,6385.404602357233
89a8107042bffff,-46.4805163253795,-23.5047373225882,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1239,945.3,7.0,7.920283584038231,65.47479297926154,8.266723316727328,11.3363299347488,6948.406682932818
89a8107042fffff,-46.4835289956447,-23.5030643724363,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,2099,707.3,6.0,6.5756453258431895,67.89035266605275,10.324515587730126,10.581794688700738,14593.74810707971
89a81070433ffff,-46.4837083943031,-23.5092024063204,64.0,PONTE RASA,ERMELINO MATARAZZO,76.2,Alta,1961,704.8,6.0,9.002499153661555,67.54852436703706,7.503308049694543,11.787260447415898,8875.213125298165
89a81070437ffff,-46.4867210522752,-23.5075294738084,64.0,PONTE RASA,ERMELINO MATARAZZO,76.2,Alta,1204,743.4,6.0,11.159073499150194,68.11470456722354,6.103974901895818,17.384461122421076,2852.6209504788944
89a8107043bffff,-46.4806060106734,-23.5078063484938,64.0,PONTE RASA,ERMELINO MATARAZZO,76.2,Alta,765,927.0,7.0,9.123615095673795,63.663022115719016,6.9778285743231905,9.42029487570324,3369.629854005255
89a81070443ffff,-46.4684652451075,-23.5114283400566,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,2042,645.2,5.0,8.365347842212472,58.947703794253684,7.046653038956375,8.600485242114814,10542.870832063094
89a81070447ffff,-46.4714780750557,-23.5097557031835,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,2055,519.0,4.0,5.613592484283524,59.35495723246751,10.573435353322253,6.776075776888928,16264.847250695631
89a8107044bffff,-46.4653627599998,-23.510031998734,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,1432,505.1,3.0,6.545633529098445,55.989909797075185,8.553780096024854,10.721422812889356,9999.264310441164
89a8107044fffff,-46.4683756159265,-23.5083593920741,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,1739,631.2,5.0,8.089869011072302,59.34146781083152,7.335281662733112,12.941522802517976,9457.535834736555
89a81070453ffff,-46.4685548750903,-23.5144971746177,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,1209,641.9,5.0,8.326468267218798,59.83407722535018,7.186009158398668,10.411447919778762,6289.087108402552
89a81070457ffff,-46.4715677190362,-23.5128245853905,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,1478,467.2,3.0,5.453048147125396,62.200243098442165,11.406509060667538,5.408242460789404,11935.310922790832
89a8107045bffff,-46.4654523754195,-23.513100898941,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,2454,529.0,4.0,7.11374904245326,57.78845120642223,8.123487469343338,9.004479223837262,15741.455296863187
89a81070463ffff,-46.4744012083101,-23.5050139440668,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1275,832.1,7.0,10.458981181823539,64.88651554663065,6.203904034113348,16.761579836702055,3913.457996834501
89a81070467ffff,-46.4774139446292,-23.5033411025702,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1704,861.7,7.0,7.66109604583746,64.47218521698038,8.415530210198888,8.666704906748828,9997.8177827838
89a8107046bffff,-46.4712987900812,-23.5036175975202,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,1075,726.2,6.0,8.787679391976596,58.01323638666055,6.601656000289258,11.929639958499202,5096.231656710632
89a8107046fffff,-46.4743115525525,-23.5019447865212,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,903,769.3,6.0,8.140389350347144,62.07514098900858,7.625573951983195,9.802500594173592,4865.337499228325
89a81070473ffff,-46.474490865113,-23.508082987871,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,1784,640.3,5.0,6.985325126835226,63.71475563638296,9.121229789521564,7.382639739969095,11672.774218846405
89a81070477ffff,-46.4775036151533,-23.5064101943348,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1504,756.1,6.0,10.74936481288699,67.56550890648452,6.28553501370452,15.957112009198296,4179.608765734758
89a8107047bffff,-46.4713884320085,-23.5066867071918,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,1738,608.6,5.0,7.288678244653625,60.68480623182394,8.32590000475564,7.988787366529006,10844.566895780417
