ds_codigo,ds_nome,ds_subpref,iptc_2025,classe_iptc,pop,hexagonos,pct60,pct60_car,penal_car,dep_pico,renda,deficit,ponto_cego
70.0,SANTANA,SANTANA-TUCURUVI,81.0,Alta,119430.0,103.0,39.06325531129473,97.33584370806292,2.5015419312623104,6.1359717254795,2040.7409302520305,0.0,False
35.0,ITAIM BIBI,PINHEIROS,83.9,Muito Alta,96897.0,91.0,53.05253433027338,98.51172045291254,1.8456136942885164,2.9648286936968193,4260.522315448363,0.0,False
45.0,JARDIM PAULISTA,PINHEIROS,83.7,Muito Alta,91747.0,60.0,60.43607325010139,99.35913698016272,1.6574679257169693,2.040294806171787,4690.15811961154,0.0,False
48.0,LAPA,LAPA,77.2,Alta,67296.0,92.0,40.886707414125645,98.835777086954,2.4008712865522766,5.702586170147406,2483.2408523537806,0.0,False
2.0,ALTO DE PINHEIROS,PINHEIROS,72.3,Média,38184.0,61.0,43.88855371408887,98.49732235012904,2.252625247510521,6.6687207714441135,3952.6296197360143,0.0,False
53.0,MOOCA,MOOCA,77.3,Alta,76139.0,77.0,39.06921875074534,98.61288494843033,2.666739950840539,4.360664014697433,1920.3710279882848,0.0,False
56.0,PARI,MOOCA,73.5,Alta,17356.0,25.0,50.75115968265816,98.81560903132888,2.028333235720197,4.538202555852954,936.8942440654529,0.0,False
60.0,PERDIZES,LAPA,71.4,Média,108079.0,59.0,44.9108279691642,99.01893120287916,2.2402884872685624,4.4164401964532995,3361.2539633046204,0.0,False
62.0,PINHEIROS,PINHEIROS,83.7,Muito Alta,64840.0,78.0,59.02353233807107,98.74699789594341,1.6405338289941105,3.1436147114312476,3717.0832310302285,0.0,False
66.0,REPUBLICA,SE,89.6,Muito Alta,53544.0,22.0,67.82349165364099,99.48102955275805,1.4608560487746076,0.8323391480916398,1525.5697594501717,0.0,False
69.0,SANTA CECILIA,SE,84.7,Muito Alta,89180.0,37.0,58.545558264407674,99.2838390330509,1.6605032108556377,2.8248654855602124,2244.2019589594083,0.0,False
49.0,LIBERDADE,SE,75.2,Alta,69074.0,33.0,52.18364216253832,99.41114275641631,1.9273895971914372,2.751281194322398,2097.080955207459,0.0,False
